Iteration	Posterior	Likelihood	Prior	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	t[27]	t[28]	t[29]	t[30]	t[31]	t[32]	t[33]	t[34]	t[35]	t[36]	t[37]	t[38]	t[39]	t[40]	t[41]	t[42]	t[43]	t[44]	t[45]	t[46]	t[47]	t[48]	t[49]	t[50]	t[51]	t[52]	t[53]	t[54]	t[55]	t[56]	t[57]	t[58]	t[59]	t[60]	t[61]	t[62]	t[63]	t[64]	t[65]	t[66]	t[67]	t[68]	t[69]	t[70]	t[71]	t[72]	t[73]	t[74]	t[75]	t[76]	t[77]	t[78]	t[79]	t[80]	t[81]	t[82]	t[83]	t[84]	t[85]	t[86]	t[87]	t[88]	t[89]	t[90]	t[91]	t[92]	t[93]	t[94]	t[95]	t[96]	t[97]	t[98]	t[99]	t[100]	t[101]	t[102]	t[103]	t[104]	t[105]	t[106]	t[107]	t[108]	t[109]	turnover
1000	-6058.864	-4642.883	-1415.982	0.0008304385	0.001305348	0.1967455	0.00204804	9	577.0124	0.1980508	463.217	412.736	411.779	412.487	385.947	399.846	393.59	396.825	393.942	389.432	392.825	395.025	398.831	389.828	390.882	391.351	390.422	385.649	387.098	388.245	386.302	387.295	374.593	359.412	373.87	370.258	369.767	369.816	371.77	354.582	352.059	299.416	290.488	280.862	283.012	280.756	284.037	275.516	282.85	276.38	280.759	283.005	284.333	281.282	280.814	276.366	275.445	273.633	265.959	245.509	267.581	266.932	246.221	246.415	245.717	213.307	208.37	210.037	201.46	202.062	201.572	176.876	173.084	111.361	111.121	80.1048	76.02	38.394	33.7545	60.729	209.033	211.632	208.476	238.494	239.29	281.125	270.512	293.331	287.006	314.483	333.787	331.48	332.007	352.532	368.689	370.664	375.561	377.046	378.521	377.883	378.63	386.077	400.331	401.626	389.813	399.641	399.1	400.489	401.248	393.5	422.859	424.536	425.453	473.419	464.015	474.008	476.402	480.403	479.268	0.993409
1100	-6056.166	-4640.059	-1416.107	0.0008116128	0.002171923	0.1891248	0.001480293	9	579.3916	0.1912967	465.885	411.782	412.536	412.883	385.562	400.501	394.787	396.227	393.882	389.481	393.571	396.519	398.531	389.939	390.882	392.869	390.719	385.739	388.988	389.081	388.332	388.393	374.883	359.82	374.92	369.563	368.959	369.416	371.638	355.918	352.507	300.081	289.862	281.11	283.008	281.578	284.756	279.158	280.826	277.185	280.918	283.003	283.115	281.102	280.772	277.888	273.607	275.168	267.688	246.015	267.441	266.958	247.853	245.852	247.114	213.489	208.336	209.79	202.498	201.113	201.632	175.837	173.831	111.101	111.351	80.2143	76.2403	37.0626	34.1279	60.709	208.103	211.002	210.31	238.9	238.704	282.063	269.811	293.815	286.712	315.276	333.033	331.782	331.013	351.817	369.862	370.281	373.713	377.786	378.834	378.912	377.452	386.438	399.521	400.651	389.705	398.479	399.108	402.519	400.179	393.5	422.654	426.438	424.801	473.354	463.438	473.897	476.678	479.196	477.694	0.9886463
1200	-6028.325	-4613.022	-1415.303	0.0008051683	-0.004285451	0.2219197	0.001728181	9	585.4128	0.2176342	466.433	412.353	411.566	413.385	386.421	400.117	393.77	395.885	394.43	389.262	393.977	399.055	398.755	390.039	390.32	392.869	390.299	385.918	388.362	388.969	388.841	388.282	376.753	360.733	374.017	369.929	368.887	370.69	372.753	357.175	352.186	301.368	290.14	280.979	284.204	281.726	283.967	278.455	280.791	278.319	281.074	283.254	283.19	281.263	281.282	278.204	275.553	274.921	266.973	245.873	267.276	266.818	247.222	249.455	249.601	213.304	208.245	210.623	203.646	201.1	201.632	176.097	176.356	111.756	111.42	80.5806	76.764	37.643	34.1079	62.3743	208.112	211.524	211.256	240.621	240.439	283.612	270.186	293.127	285.244	316.092	334.781	331.176	333.038	353.728	368.995	373.233	375.026	377.121	379.508	378.273	377.512	386.048	400.94	401.604	390.15	399.185	399.1	402.581	401.131	393.5	420.773	427.752	425.368	473.531	464.122	473.133	475.949	479.818	476.396	1.019691
1300	-6028.761	-4597.244	-1431.517	0.0007317585	0.007443628	0.1999202	0.001589816	13	586.3233	0.2073638	466.264	411.944	413.049	413.96	389.646	400.152	394.589	396	395.549	388.436	393.888	399.131	398.844	390.387	390.79	392.452	390.732	385.973	388.481	388.499	387.472	388.561	377.533	360.85	373.902	369.946	370.965	371.72	372.886	357.15	350.496	305.218	290.588	281.215	283.045	280.927	283.822	277.767	282.549	278.389	280.967	283.162	283.799	282.234	281.328	279.398	275.045	275.064	265.802	248.102	267.22	266.792	248.559	249.645	249.812	214.142	209.474	210.818	204.381	201.652	201.298	176.51	174.853	111.528	112.266	83.6505	75.9899	38.3053	33.5165	60.0229	208.753	211.069	210.237	242.552	241.277	282.519	270.913	293.106	286.335	316.621	336.57	331.42	333.056	353.029	369.311	372.55	374.639	377.117	379.954	378.57	377.733	386	401.494	401.421	389.407	398.646	399.214	403.834	401.237	393.5	419.934	425.344	424.72	473.845	467.279	476.079	476.089	480.455	477.179	0.9641035
1400	-6021.246	-4592.852	-1428.395	0.0007930602	-0.004890587	0.2007312	0.001556202	11	589.9233	0.1958407	466.428	412.723	411.502	414.427	389.775	400.503	396.923	393.7	395.895	388.577	393.62	397.21	399.481	390.088	389.971	392.714	390.545	387.228	386.917	387.942	388.317	388.131	376.973	363.343	376.089	370.72	370.566	372.197	374.042	357.38	351.917	306.077	290.421	280.823	283.763	281.004	284.558	277.533	282.885	278.027	281.626	283.838	283.445	282.816	280.768	278.77	275.478	273.822	265.099	247.856	267.154	266.859	248.559	250.464	250.328	216.087	208.144	210.726	205.77	201.92	201.448	177.415	174.498	111.448	112.027	81.6142	76.8718	37.1866	32.9707	61.0451	208.753	213.22	208.636	240.903	239.637	281.826	271.327	293.559	287.267	316.854	335.68	331.241	332.55	352.977	370.71	370.392	374.666	377.229	380.844	377.127	377.479	386.044	401.67	400.755	389.709	400.584	399.54	403.146	400.046	393.5	419.505	424.792	425.048	473.769	468.229	474.845	476.301	482.011	478.159	1.024972
1500	-6007.934	-4586.441	-1421.493	0.0007330384	0.001364945	0.1716977	0.001775239	14	595.5073	0.1730626	463.96	412.139	411.878	415.016	390.154	400.544	398.748	394.006	396.041	387.996	393.166	397.134	398.567	390.654	390.719	391.804	391.957	388.132	388.94	388.121	388.658	388.299	375.165	365.876	373.867	372.025	370.941	371.88	371.716	355.545	351.718	307.083	290.034	280.823	283	281.22	283.62	275.744	282.729	275.985	281.054	283.062	283.426	281.394	280.787	278.639	275.89	273.754	266.743	247.674	267.474	267.097	247.576	250.817	248.792	215.412	208.417	210.357	205.508	201.414	201.153	177.138	174.146	111.304	111.914	81.2242	76.8718	36.9528	32.7408	60.557	208.865	212.975	209.819	240.009	239.94	281.881	273.335	293.611	286.581	318.38	335.441	331.301	332.052	349.875	370.049	370.781	374.684	379.794	380.844	378.135	378.261	386.357	403.777	401.458	389.953	401.982	399.277	403.564	399.679	393.5	419.163	424.792	426.17	473.777	469.034	475.279	475.204	479.922	476.239	0.992113
1600	-6013.586	-4585.757	-1427.83	0.0007392212	0.001586731	0.165444	0.001753734	11	599.6097	0.1670307	463.571	412.384	411.937	413.225	389.373	400.827	397.719	394.266	395.624	387.027	393.227	395.745	398.246	390.454	389.913	391.504	391.961	387.84	386.496	387.133	386.977	387.727	373.827	368.145	375.248	372.011	370.327	370.198	371.716	355.869	352.262	305.766	290.33	280.795	283	281.018	283.019	274.546	282.452	276.546	281.126	283.004	284.39	281.556	280.776	278.922	274.862	274.352	265.886	247.929	267.599	266.706	246.587	250.766	249.176	213.399	208.125	210.179	204.912	201.106	201.261	176.09	174.045	111.523	111.271	79.9376	76.6016	37.0476	35.8462	60.3586	209.505	213.09	210.678	241.733	240.532	282.861	276.699	293.698	286.783	316.287	335.807	331.881	331.346	351.346	371.232	371.539	373.881	380.111	381.948	378.157	378.901	387.156	404.188	401.778	390.049	401.887	399.1	403.757	400.271	393.5	421.915	424.712	424.642	473.329	468.755	475.225	475.068	479.165	476.159	0.9905004
1700	-6031.17	-4590.375	-1440.794	0.0007203466	0.0004644583	0.1733994	0.001693341	10	605.6586	0.1738639	463.281	412.595	411.568	412.584	389.699	399.794	396.223	394.219	396.742	387.647	393.791	394.842	397.923	391.273	390.958	389.721	391.307	387.371	385.31	386.983	388.253	386.072	375.76	369.672	375.522	371.605	370.606	371.484	369.155	356.378	351.035	306.001	290.951	281.018	283.185	280.882	284.287	275.509	282.041	276.083	281.26	283.113	284.244	282.265	280.82	279.627	275.805	274.862	266.385	250.515	267.198	267.063	248.114	250.606	249.065	213.303	209.611	210.542	206.789	201.122	201.185	177.076	173.376	112.19	112.052	79.9376	76.3567	37.0476	36.2101	60.3779	208.897	212.277	211.084	240.774	240.213	283.155	278.69	293.239	287.608	316.273	334.556	331.172	331.342	349.838	369.478	373.037	375.505	380.693	382.491	378.716	379.154	388.301	403.003	400.93	391.327	401.31	399.829	402.429	402.199	393.5	421.974	425.33	424.697	473.825	468.392	477.045	475.204	481.901	477.575	0.9973286
1800	-6013.823	-4579.366	-1434.457	0.0007609889	-0.001048753	0.1967784	0.001767732	10	609.5674	0.1957296	463.202	412.713	411.95	412.429	390.133	399.968	398.106	393.57	396.03	387.169	395.218	394.884	397.041	393.464	391.056	390.604	390.921	385.397	386.233	388.286	388.371	385.789	375.51	370.55	374.854	371.779	370.517	369.422	370.626	359.322	351.754	304.639	289.886	281.03	283	281.011	284.022	276.282	283.508	279.265	281.275	283.403	283.242	282.964	281.013	279.565	274.655	275.523	267.28	252.334	267.458	267.004	248.935	247.949	249.544	213.811	212.352	208.457	206.888	201.198	201.112	177.472	174.905	111.402	112.028	79.2325	78.0003	37.5745	35.6717	62.2832	209.536	211.395	211.809	239.811	241.876	282.678	280.416	293.104	288.051	317.899	333.01	332.306	332.937	349.87	371.829	373.372	374.007	381.5	382.207	378.362	378.489	388.057	402.154	402.273	391.093	401.013	399.1	402.639	402.156	393.5	422.885	425.225	425.505	473.123	465.338	477.12	475.053	481.692	477.972	1.005358
1900	-6034.626	-4576.53	-1458.096	0.0007167758	0.004447611	0.1917405	0.001181695	5	616.1141	0.1961881	463.335	412.081	412.3	413.3	392.273	399.872	397.091	393.683	396.013	385.69	396.193	395.275	397.619	391.628	390.342	391.463	390.875	386.007	387.142	388.575	388.273	386.032	375.544	371.531	373.875	372.994	371.815	370.003	372.182	359.363	352.716	304.644	290.849	281.029	283.261	281.279	283.323	274.932	284.438	279.265	281.275	283.817	284.437	282.335	280.882	280.181	274.198	275.524	267.199	252.364	267.237	267.095	249.871	245.874	252.143	214.058	210.767	208.625	207.45	201.226	201.1	177.452	175.457	112.118	111.725	79.6489	76.1095	37.6666	36.0631	61.0823	209.906	212.202	210.841	239.822	241.782	281.854	279.819	296.049	288.819	317.299	333.827	332.7	334.374	350.727	370.762	372.747	374.454	381.074	382.885	377.304	380.245	387.432	399.878	402.818	390.831	400.967	399.191	400.687	401.004	393.5	423.912	425.842	424.846	472.814	464.018	476.16	475.919	480.716	476.817	0.9773299
