Iteration	Posterior	Likelihood	Prior	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	t[27]	t[28]	t[29]	t[30]	t[31]	t[32]	t[33]	t[34]	t[35]	t[36]	t[37]	t[38]	t[39]	t[40]	t[41]	t[42]	t[43]	t[44]	t[45]	t[46]	t[47]	t[48]	t[49]	t[50]	t[51]	t[52]	t[53]	t[54]	t[55]	t[56]	t[57]	t[58]	t[59]	t[60]	t[61]	t[62]	t[63]	t[64]	t[65]	t[66]	t[67]	t[68]	t[69]	t[70]	t[71]	t[72]	t[73]	t[74]	t[75]	t[76]	t[77]	t[78]	t[79]	t[80]	t[81]	t[82]	t[83]	t[84]	t[85]	t[86]	t[87]	t[88]	t[89]	t[90]	t[91]	t[92]	t[93]	t[94]	t[95]	t[96]	t[97]	t[98]	t[99]	t[100]	t[101]	t[102]	t[103]	t[104]	t[105]	t[106]	t[107]	t[108]	t[109]	turnover
53700	-6017.096	-4556.837	-1460.258	0.0006154979	0.0008083674	0.1761115	0.001098163	11	620.5584	0.1769199	478.383	413.241	411.834	414.344	388.637	404.321	397.828	398.417	397.956	391.073	393.253	397.231	398.028	393.483	392.471	389.053	392.209	387.269	386.108	386.308	386.957	387.498	383.352	379.415	376.287	370.439	369.329	372.409	372.072	355.213	350.125	307.478	291.095	281.031	283	280.885	283.845	274.802	283.682	277.189	280.847	283.276	283.63	282.794	282.274	278.304	274.823	274.083	268.885	269.384	267.534	266.993	253.065	252.603	246.062	213.3	210.966	210.422	205.944	203.493	201.181	183.922	177.399	112.435	114.782	80.9065	76.6905	40.0554	32.2744	64.0326	210.359	213.231	212.617	241.876	242.859	281.118	286.909	294.799	295.979	314.519	334.277	332.359	336.039	350.728	370.644	369.095	376.767	381.547	380.891	381.605	377.466	387.29	400.345	403.564	396.958	399.84	399.125	400.299	407.156	393.5	419.263	431.971	431.645	475.542	468.865	473.964	473.174	481.731	482.822	0.9954309
53800	-6019.484	-4552.523	-1466.961	0.0006171754	0.001295567	0.2061193	0.001041747	7	629.5054	0.2074148	465.885	412.975	416.344	413.443	391.456	399.829	398.787	398.451	398.931	397.337	394.709	395.52	399.295	393.119	390.715	390.297	389.687	388.035	388.895	386.092	385.902	385.642	378.509	374.374	375.305	370.269	372.8	371.604	372.993	356.287	351.194	307.618	291.291	281.019	283.08	281.348	283.766	276.186	284.438	282.989	281.392	283.002	283.127	282.82	281.888	281.744	274.205	275.852	265.305	254.128	267.51	266.809	245.42	251.606	246.201	216.849	212.366	210.159	208.057	201.434	201.106	179.506	174.816	112.125	115.831	86.7636	75.7214	43.4686	35.3615	62.4221	212.512	210.241	211.078	244.052	244.408	281.493	271.17	296.497	291.143	316.846	332.34	334.433	340.47	350.187	369.802	369.115	375.823	383.144	383.139	380.893	381.528	388.8	402.572	402.178	404.204	403.261	399.109	402.028	408.513	393.5	419.831	432.684	431.221	473.901	465.506	476.361	473.106	481.709	483.824	0.9937537
53900	-6017.748	-4558.206	-1459.542	0.0006556189	-0.0001037761	0.2016902	0.001463298	6	627.6822	0.2015864	477.954	411.955	414.107	412.159	402.222	403.784	393.629	397.533	394.366	397.337	395.279	394.152	397.69	389.611	389.866	391.08	389.517	388.092	388.222	386.987	387.204	386.233	377.369	383.056	374.975	368.999	372.31	374.207	368.996	356.064	352.274	305.108	290.905	281.771	283	282.944	283.656	282.972	281.675	276.006	282.108	284.14	283.554	282.551	280.901	278.828	274.835	274.858	266.783	263.574	267.138	266.809	254.794	255.353	254.69	213.303	212.134	212.93	203.621	201.696	206.231	186.253	174.603	114.117	114.83	86.4649	76.9943	43.9432	32.2972	60.1657	212.74	210.241	210.073	245.397	241.138	281.192	277.335	295.43	287.935	319.865	333.185	331.403	341.79	352.618	374.656	370.403	376.004	380.551	379.544	381.754	382.806	385.563	402.56	399.851	404.204	404.597	399.109	400.263	399.615	393.5	421.396	427.244	430.009	476.697	471.832	476.245	475.849	480.431	480.59	1.000515
54000	-6024.445	-4565.569	-1458.876	0.0006661457	0.001748957	0.1746022	0.001257854	7	621.641	0.1763512	464.474	413.087	414.857	412.734	387.122	404.466	398.846	395.118	398.479	393.273	398.097	397.156	398.667	392.731	389.875	392.245	389.517	387.19	388.222	386.182	388.923	388.937	374.047	383.849	375.583	370.609	372.142	371.17	372.871	358.573	350.597	302.058	290.257	281.567	283.196	284.193	284.721	277.768	284.592	276.006	284.541	283.354	283.44	281.146	281.539	281.414	274.331	273.691	271.169	263.574	267.465	266.977	251.841	246.975	248.57	213.3	209.222	208.937	201.574	206.035	202.883	180.009	174.603	116.332	113.936	80.4885	77.2212	48.1622	34.4157	63.993	209.188	210.001	211.907	242.749	241.962	283.304	285.024	295.913	290.088	318.731	332.875	333.021	336.314	353.345	370.738	373.345	373.782	378.23	382.993	381.364	381.472	388.132	402.293	399.757	402.347	402.291	399.104	400.411	401.16	393.5	421.862	431.992	424.774	475.837	468.487	475.678	475.636	480.621	487.035	0.9900825
54100	-6021.224	-4550.649	-1470.575	0.0006534889	0.0009591991	0.1553083	0.001208851	9	629.2555	0.1562675	473.392	411.362	411.543	412.46	403.616	400.659	398.846	397.195	396.528	398.655	396.318	394.728	398.045	391.332	393.044	391.039	390.013	387.255	386.438	385.769	385.811	386.814	373.76	373.952	375.917	372.439	374.544	375.007	373.59	358.604	352.591	306.562	290.385	282.962	283.041	281.721	284.119	275.136	282.014	279.157	281.625	283.184	283.52	281.693	282.218	277.358	274.173	275.089	266.101	269.255	267.422	266.89	252.462	247.952	247.372	213.895	208.762	208.439	203.319	203.346	201.108	192.714	171.704	111.365	116.799	82.8056	76.2625	47.7694	36.1131	65.6885	209.649	209.956	211.907	242.089	243.5	283.699	284.827	293.839	293.231	315.305	336.671	335.187	339.506	353.499	375.162	373.583	376.368	381.583	377.49	381.969	384.217	388.398	401.028	402.694	401.832	399.685	399.248	401.402	401.192	393.5	422.007	429.691	427.251	474.429	468.577	474.818	477.101	479.509	486.854	0.9938618
54200	-6020.82	-4563.539	-1457.282	0.00071297	0.0005649208	0.1381157	0.001512975	7	629.3403	0.1386806	474.567	412.086	416.739	412.307	401.65	403.821	397.229	395.277	398.931	398.023	394.838	396.979	397.897	391.928	391.797	391.743	389.648	385.528	387.166	387.27	386.964	385.355	379.803	383.404	376.63	371.436	374.328	373.888	370.522	355.573	353.308	309.64	290.653	282.145	283.004	284.701	283.771	284.54	284.042	276.302	281.298	283	283.838	281.332	282.144	275.919	274.354	275.584	272.309	266.082	267.563	266.515	247.795	248.218	254.104	214.952	210.359	211.476	205.839	202.7	201.102	178.283	175.242	112.115	114.526	86.745	77.818	45.0444	34.0053	62.732	209.355	212.274	210.419	240.951	245.188	283.664	282.76	295.25	295.223	319.208	332.82	331.187	332.168	350.442	372.862	369.768	374.166	379.049	380.288	383.337	383.635	385.378	401.503	403.163	392.6	401.151	399.122	402.869	399.732	393.5	422.619	431.794	424.661	476.628	474.306	473.011	477.231	480.713	485.539	0.9959265
54300	-6044.555	-4577.66	-1466.895	0.0006770649	0.00129017	0.1286758	0.001478481	4	616.2306	0.129966	479.741	414.65	415.241	414.372	398.018	400.527	396.345	396.025	395.353	393.563	394.833	396.263	399.227	389.246	391.051	390.127	389.201	387.749	386.364	386.31	388.782	385.324	381.957	380.879	374.801	370.802	370.553	375.094	369.78	356.539	350.761	308.453	293.076	282.61	283.391	283.272	283.536	279.323	284.67	282.042	283.506	284.032	283.2	280.745	281.076	279.16	274.014	273.813	266.143	257.707	267.185	266.561	255.172	248.167	250.163	214.137	210.071	209.343	207.108	201.153	201.1	194.087	174.952	114.074	111.217	86.4066	76.1079	49.3012	33.8519	65.6891	208.922	211.171	211.265	239.031	244.163	283.463	283.676	294.961	296.479	317.92	331.339	334.563	335.04	350.833	373.223	375.034	376.052	379.246	381.054	379.231	383.566	387.481	400.214	401.047	401.591	398.219	399.107	403.318	402.223	393.5	421.896	432.737	433.116	472.788	463.623	475.523	476.766	480.453	477.652	0.990073
54400	-6020.043	-4562.878	-1457.164	0.0006695817	3.379509e-05	0.1252087	0.002063059	10	627.633	0.1252425	473.803	415.08	413.955	412.392	406.97	400.527	396.133	396.972	399.066	398.289	392.974	394.929	397.636	390.09	389.919	392.343	389.476	388.883	386.978	387.86	388.66	388.097	379.454	382.501	374.319	373.236	373.349	374.4	369.292	358.536	351.327	305.66	291.334	282.129	283.077	283.571	283.411	283.292	282.679	284.434	281.822	283.733	283.624	282.499	282.128	276.344	274.45	273.978	268.135	267.346	267.421	266.54	249.63	245.811	245.776	213.488	208.822	208.341	204.775	202.101	201.657	180.277	176.096	114.803	112.355	85.4802	77.5718	42.9613	35.118	60.9777	209.929	208.939	213.174	243.039	245.026	283.495	280.021	293.101	285.527	316.238	332.791	332.774	340.876	349.802	372.796	370.206	374.286	381.845	385.167	380.409	384.961	386.984	401.508	404.54	404.277	402.652	405.049	400.479	401.197	395.889	423.796	432.795	430.059	475.823	465.036	475.86	472.676	481.215	483.599	0.9997302
54500	-6003.351	-4562.699	-1440.652	0.0006561137	-0.0002992254	0.1086317	0.001982033	13	626.0348	0.1083325	475.238	414.862	411.427	412.152	401.921	400.527	398.613	394.629	394.739	391.121	394.352	394.293	397.082	389.85	391.548	392.343	390.637	388.996	388.414	387.305	388.267	388.162	381.241	378.048	374.692	373.204	374.292	374.842	371.719	354.836	350.749	310.6	290.759	280.938	283	283.11	284.129	283.019	283.133	277.237	283.314	283.568	283.858	281.099	280.886	282.564	275.365	275.15	270.451	267.674	267.561	266.605	245.761	248.358	248.021	213.332	212.406	208.427	207.709	201.901	201.153	182.864	176.489	111.315	115.853	84.516	76.7073	48.5836	32.2886	64.903	209.341	212.966	212.07	244.733	242.546	282.852	278.289	296.789	288.734	317.076	331.101	333.831	331.008	352.906	371.101	369.076	375.941	382.98	384.589	384.839	382.85	385.325	401.508	401.495	395.602	402.768	399.1	403.472	401.047	395.635	420.966	429.733	429.925	473.494	463.778	475.495	477.189	481.473	485.074	1.002762
54600	-6015.119	-4553.925	-1461.194	0.0006219946	0.002795998	0.1114926	0.002056359	13	629.7738	0.1142886	485.826	416.231	417.148	414.125	396.155	401.012	393.897	394.835	399.418	388.605	396.906	393.755	399.281	391.771	392.921	391.491	389.199	387.708	385.792	386.262	387.244	387.512	382.217	378.048	376.394	371.889	368.851	371.849	371.719	357.888	349.829	308.577	290.094	284.339	283	281.061	283.517	276.368	282.265	283.864	282.144	283	283.13	281.059	282.893	279.263	274.213	275.189	265.835	262.522	267.393	266.59	246.835	250.394	250.563	213.324	208.444	211.476	203.092	202.505	201.102	176.238	176.227	113.633	116.776	87.0847	77.1534	49.2013	32.5418	63.4809	208.4	212.982	209.382	239.395	243.751	283.595	281.188	296.447	286.217	314.068	335.88	331.41	332.318	349.852	372.463	373.566	375.275	378.106	384.306	384.493	378.917	387.724	403.604	399.778	395.436	396.815	400.78	401.324	400.478	393.577	419.14	428.583	429.187	474.127	463.729	477.295	477.125	479.484	482.307	0.9755356
54700	-6014.503	-4557.342	-1457.161	0.0007040941	-0.0006024081	0.08608646	0.002972018	11	625.1361	0.08548405	479.433	414.092	415.071	413.199	406.316	403.47	394.531	396.857	399.277	386.742	393.031	399.07	398.396	390.841	391.798	389.325	390.5	385.912	386.827	385.479	388.083	388.757	382.396	372.387	374.821	371.51	374.839	373.375	374.112	356.688	349.829	303.027	292.589	280.731	283	282.057	283.526	274.83	283.465	280.612	284.015	283.239	284.441	282.39	281.894	276.272	275.204	273.848	271.651	260.696	267.595	266.695	254.452	248.712	254.237	213.321	208.326	208.122	206.43	203.765	203.663	192.435	175.263	116.455	115.07	81.3963	77.8294	46.5884	33.6481	60.352	210.308	210.74	210.655	244.726	244.325	283.988	284.395	295.825	294.522	314.736	334.758	333.481	333.118	350.264	371.999	369.229	375.328	384.206	378.815	383.965	384.515	386.602	403.489	402.759	402.991	403.276	399.433	401.942	409.141	393.501	423.647	425.618	430.508	474.6	470.053	473.309	474.079	479.699	483.649	1.007047
54800	-6010.255	-4563.277	-1446.978	0.0006915877	-0.000811766	0.09348874	0.002215091	10	625.7969	0.09267697	479.741	411.348	412.874	414.152	402.956	400.419	395.239	394.97	397.013	399.479	398.353	395.234	398.035	391.992	389.858	392.97	390.149	386.8	388.629	386.943	387.569	386.852	374.008	385.191	374.525	372.9	368.912	372.812	374.474	358.805	349.825	301.201	292.659	281.986	283	280.985	283.085	273.608	281.349	278.606	281.367	283.004	284.362	282.479	281.645	279.583	274.341	275.525	272.504	264.355	267.171	267.055	253.418	245.715	253.22	213.3	211.302	210.387	202.765	203.73	204.235	176.04	176.523	111.177	114.484	79.9671	75.655	40.2747	32.5508	62.8091	210.947	209.763	211.376	243.814	243.986	281.917	277.619	293.151	292.781	312.962	335.263	331.997	334.309	352.596	371.596	372.301	373.872	379.095	379.217	379.136	384.515	385.551	400.163	403.355	402.991	402.119	399.108	401.097	406.777	393.5	419.563	426.308	428.028	474.034	470.826	473.11	475.397	479.189	476.86	1.008759
54900	-6007.027	-4562.303	-1444.723	0.0006989508	0.001067957	0.06464594	0.003426031	13	623.2751	0.06571389	466.663	411.348	415.622	412.979	407.752	403.009	394.114	395.139	395.381	396.679	393.102	398.005	396.723	392.301	391.598	391.508	390.912	387.324	388.835	387.289	386.872	385.644	377.78	383.36	373.87	371.026	370.556	372.378	370.196	357.352	349.806	309.442	292.652	281.529	283.232	281.339	283.896	284.065	282.052	279.099	282.048	283.033	283.082	281.756	281.735	277.686	273.777	274.594	265.952	257.832	267.373	266.651	249.649	247.215	253.783	213.3	212.123	210.286	207.306	201.691	201.101	192.863	177.087	111.743	113.863	80.1284	77.738	46.2482	34.5617	66.2814	210.831	209.34	211.942	242.204	239.995	283.838	284.195	293.367	287.11	314.222	332.169	330.987	337.389	353.33	368.711	369.713	375.155	378.055	384.679	379.007	376.901	386.965	399.93	404.144	398.844	402.119	399.1	400.263	406.661	393.5	420.938	431.538	432.607	476.506	471.054	473.489	475.465	479.695	477.783	0.9837484
55000	-6013.449	-4559.949	-1453.5	0.0006419079	0.002039501	0.09167575	0.002142423	11	622.6676	0.09371525	464.038	411.6	418.256	413.991	408.11	400.244	396.576	394.36	397.214	388.489	394.73	393.84	396.761	390.959	393.289	390.418	389.526	385.894	387.97	388.162	388.648	386.22	381.124	375.283	376.353	372.055	371.077	372.656	372.562	354.954	350.134	311.467	290.391	288.456	283.001	282.138	283.975	281.843	284.373	279.543	282.281	284.066	284.492	282.451	282.195	276.976	275.085	274.661	269.687	249.934	267.483	267.1	248.061	250.065	248.308	213.3	210.314	208.784	202.869	201.572	203.183	192.862	175.059	116.825	116.421	85.6825	75.6882	48.6991	35.2009	65.2935	210.831	210.855	212.091	242.632	242.277	283.392	285.929	293.112	293.817	313.894	336.204	335.086	337.64	351.214	373.18	369.525	375.385	379.059	383.731	382.662	378.052	386.355	401.98	400.18	400.681	402.777	400.886	399.981	404.229	393.5	419.148	426.315	433.711	475.415	465.924	473.727	474.249	481.74	478.556	0.9782373
55100	-6014.811	-4563.215	-1451.597	0.000688052	-0.001609866	0.1344504	0.001937559	11	628.0443	0.1328405	466.639	411.576	414.788	413.641	399.668	400.326	398.886	396.335	399.296	389.739	398.429	395.697	396.801	391.01	391.561	391.632	391.701	386.329	386.341	386.981	388.523	388.821	383.58	381.901	374.671	373.781	372.231	369.954	373.538	357.34	350.225	311.568	290.37	281.276	283	281.225	283.016	276.891	282.731	276.997	281.95	283.018	283.346	281.804	280.911	277.018	274.285	273.787	265.361	266.276	267.323	266.85	256.03	254.35	249.615	213.476	209.792	211.217	204.417	201.955	206.269	175.431	171.857	111.326	116.889	87.6895	77.9502	38.7429	35.9203	62.9617	212.46	209.006	212.002	238.631	242.867	284.695	287.292	293.315	295.243	318.45	334.888	331.674	334.803	353.051	372.528	374.242	375.612	383.837	383.754	383.786	381.705	386.925	400.553	400.394	401.807	400.851	399.115	399.719	401.92	393.5	421.9	425.649	425.205	472.655	465.482	472.851	476.175	479.101	480.5	1.012119
55200	-6042.328	-4580.228	-1462.099	0.0006591467	0.002726073	0.1227343	0.00172535	5	625.502	0.1254604	482.804	411.54	418.709	411.959	395.98	402.472	394.731	398.105	396.289	399.276	398.423	396.7	398.8	392.482	392.16	389.985	391.771	388.029	386.631	388.107	388.884	386.323	383.437	359.801	374.743	369.116	371.019	370.206	370.282	353.8	350.005	308.665	290.585	287.659	284.424	284.338	283.754	275.046	281.828	281.467	284.519	284.638	284.191	280.718	282.862	276.784	275.588	275.287	271.472	267.077	267.494	266.721	249.978	246.116	246.911	213.3	213.133	209.347	204.623	202.125	201.102	185.82	172.491	111.803	116.821	87.6895	77.7058	36.8532	35.2092	65.0712	208.676	212.974	211.795	243.106	240.816	281.895	278.334	293.276	288.377	315.676	331.996	336.304	336.297	353.767	374.893	374.05	373.852	383.837	384.669	383.375	384.861	387.359	403.429	400.1	401.112	402.263	399.262	402.449	408.066	393.5	421.651	429.567	427.33	474.713	474.557	476.186	476.892	479.101	486.031	0.9782714
55300	-6016.674	-4565.976	-1450.698	0.0006606679	0.003580554	0.1387589	0.001660869	9	624.5605	0.1423395	477.269	413.175	412.727	414.146	408.756	403.05	396.93	394.974	394.318	389.118	398.134	397.063	397.963	392.89	389.128	389.962	391.216	387.833	388.309	386.826	388.795	387.689	383.031	365.155	374.743	372.571	375.175	372.502	374.975	354.938	352.742	310.692	290.495	288.005	284.391	280.783	283.791	277.687	282.998	281.611	280.723	283.001	283.383	282.024	281.591	279.656	275.45	274.45	266.582	260.281	267.333	266.87	255.43	252.27	254.433	213.3	211.05	211.268	203.351	204.354	201.327	187.399	177.704	112.949	115.524	87.3763	76.1657	39.9231	34.5879	60.2835	208.406	212.475	208.904	244.902	243.219	284.296	288.997	293.521	296.445	319.764	336.611	334.457	337.722	352.304	374.099	368.712	375.886	380.626	382.637	382.601	382.196	387.582	402.824	399.545	395.853	402.395	399.103	399.969	402.23	393.5	424.275	431.628	433.056	474.695	467.445	474.158	476.942	479.192	483.971	0.974845
55400	-6008.886	-4558.314	-1450.572	0.0006600529	0.00159008	0.1207267	0.001784403	12	615.1148	0.1223168	470.279	413.461	415.959	412.708	406.82	400.652	395.571	397.326	396.709	395.419	394.395	398.285	399.421	390.641	389.13	390.269	392.238	386.191	388.116	388.605	385.905	386.596	374.307	377.718	374.787	369.689	370.345	373.403	373.901	359.392	352.527	305.296	291.479	286.887	283.519	281.155	284.401	281.549	283.01	278.43	282.222	283.001	284.7	281.631	281.268	277.107	274.351	274.693	269.006	268.911	267.314	266.761	255.43	255.649	247.863	213.3	213.222	209.696	208.046	201.168	201.835	177.052	176.541	111.481	116.277	87.9816	77.9327	37.0709	32.5587	64.1368	212.495	210.152	208.57	239.927	239.797	284.361	288.355	293.198	285.785	316.759	335.324	331.818	337.987	351.44	369.13	374.597	373.818	380.4	381.135	383.518	381.552	386.497	401.988	402.696	395.609	400.755	399.1	402.746	400.213	393.5	422.595	425.421	425.744	473.477	463.118	473.697	476.697	481.942	477.961	0.9870003
55500	-6033.828	-4574.912	-1458.916	0.0006285833	0.0005198427	0.1241372	0.00206015	10	629.2114	0.1246571	470.279	414.735	414.288	413.664	389.05	400.118	399.105	395.264	395.49	395.994	398.916	396.806	398.809	391.725	391.924	392.201	390.794	388.564	385.925	388.665	388.391	385.906	381.878	379.674	375.261	370.244	372.769	369.946	372.02	357.984	351.35	302.521	290.389	281.431	283.003	281.596	283.864	275.504	281.255	283.858	281.439	283.135	283.319	282.43	280.845	276.797	274.066	274.013	267.643	251.792	267.525	266.635	252.624	255.23	249.976	213.3	209.435	210.471	201.148	203.05	206.786	177.268	175.701	112.884	112.154	82.8281	75.2768	47.1578	36.2052	65.6785	212.054	212.414	212.687	243.811	242.098	282.679	288.988	293.444	293.347	313.557	332.034	336.077	334.199	352.549	373.027	373.65	373.896	377.995	385.289	379.606	384.743	385.559	400.071	401.06	392.106	398.35	399.1	402.875	409.258	393.5	421.589	430.274	432.405	475.761	463.118	473.718	476.697	479.998	480.024	0.9958298
55600	-6015.56	-4565.631	-1449.929	0.0006829876	0.001939253	0.1319895	0.001517069	9	627.4015	0.1339287	465.631	413.028	412.348	414.874	396.612	403.174	398.207	399.06	398.59	397.309	393.287	396.816	396.825	390.883	389.295	391.117	390.948	387.906	388.387	387.349	387.957	387.434	376.861	374.943	374.306	369.94	372.769	373.726	372.967	357.903	351.809	305.791	290.389	282.995	283.215	283.268	283.608	273.644	280.996	284.421	281.585	283.259	284.311	281.019	281.57	282.723	273.852	275.544	270.599	265.366	267.279	266.622	254.197	248.507	250.68	213.398	210.441	208.152	202.429	201.115	201.226	179.555	174.467	111.104	112.14	80.846	75.2768	43.3861	35.9927	63.0013	209.693	208.693	212.687	243.251	242.649	283.118	280.021	295.022	293.203	313.246	335.139	334.231	335.923	351.402	374.379	372.764	374.701	378.737	383.912	382.906	377.747	385.491	399.713	400.262	401.87	400.32	399.381	400.987	406.911	393.5	423.364	429.776	426.617	472.755	464.307	475.396	475.639	481.053	481.081	0.9855203
55700	-6032.359	-4576.632	-1455.727	0.0006627586	-0.0004642358	0.124667	0.002255585	7	629.8422	0.1242027	482.543	411.656	413.144	413.844	409.433	400.9	396.79	397.006	398.05	388.379	393.999	396.359	397.597	391.411	391.176	390.935	390.549	386.065	388.426	385.875	388.273	387.536	378.281	376.382	373.816	373.194	373.673	371.941	372.679	357.901	350.866	311.028	291.234	282.139	283.021	283.985	284.725	275.706	283.351	279.513	283.085	284.795	283.874	281.937	282.035	277.449	274.999	273.827	269.694	259.008	267.324	266.546	249.163	249.262	251.059	213.307	208.83	209.166	204.417	201.287	204.866	186.7	177.004	112.721	115.782	85.973	77.3006	39.6034	32.1291	61.887	212.315	209.494	211.72	241.299	243.333	282.583	287.048	293.137	285.813	317.874	335.498	333.637	337.161	353.096	374.002	371.408	375.708	381.562	380.89	379.123	380.851	388.848	402.331	400.447	403.311	398.488	399.107	402.064	400.724	393.5	421.155	432.28	434.004	475.28	473.404	476.75	476.73	479.869	478.093	1.003738
55800	-6021.186	-4558.885	-1462.301	0.0006138135	0.001414355	0.09536594	0.002180252	11	629.5645	0.09678029	468.249	412.274	417.159	412.711	400.656	401.515	394.317	396.838	395.043	397.072	394.723	395.872	397.506	390.878	392.312	391.882	390.896	386.995	386.503	387.731	387.673	387.536	376.968	366.605	375.068	369.313	371.843	374.071	368.611	355.989	351.256	307.986	291.998	285.118	283.521	282.75	284.649	281.64	282.932	283.468	281.158	283.41	283.306	282.852	281.566	278.454	275.108	274.299	268.569	259.742	267.314	266.947	248.294	253.674	253.661	213.3	208.215	208.461	206.367	201.142	202.148	181.976	172.742	116.814	116.388	86.7878	75.2686	44.5336	35.005	62.4399	211.166	213.037	210.345	240.422	244.126	281.804	274.403	294.153	296.288	318.896	331.461	333.415	332.537	349.876	374.002	372.088	376.517	384.234	385.298	384.185	382.804	387.438	400.259	402.898	401.592	398.255	399.101	402.882	400.218	393.5	424.093	424.749	425.334	474.372	464.219	475.925	476.196	480.615	475.932	0.9853859
55900	-6025.525	-4564.929	-1460.597	0.0006401506	-0.003373723	0.08574892	0.002682759	14	624.4965	0.0823752	470.243	412.274	416.199	413.361	409.359	403.022	397.427	395.555	397.229	387.026	394.241	398.732	398.535	391.887	390.461	390.191	389.663	387.542	388.753	388.201	388.077	387.704	380.222	375.477	375.808	372.338	374.214	371.614	373.066	358.25	352.718	298.115	290.323	281.354	283.102	281.439	284.777	278.652	283.082	280.721	280.942	283.074	283.024	282.924	281.343	281.815	273.656	274.202	269.954	255.506	267.149	266.71	254.819	252.534	250.044	213.3	210.544	208.415	204.64	201.285	202.567	187.272	177.462	111.414	114.409	86.9037	76.6419	42.6473	33.1173	61.1125	210.65	212.994	209.112	244.097	245.132	284.542	275.035	293.703	293.627	315.582	334.115	335.429	333.455	351.756	370.616	371.41	375.014	379.961	380.61	384.951	385.07	387.546	403.176	400.353	397.986	397.726	399.1	400.429	402.48	393.5	423.967	427.382	425.658	473.209	465.707	476.298	475.549	481.88	487.1	1.040956
56000	-6008.796	-4548.583	-1460.213	0.0006057328	-0.003189243	0.07900388	0.002175158	12	626.8617	0.07581464	474.107	413.428	413.79	411.813	399.771	403.92	399.212	397.084	397.957	393.473	392.806	395.454	397.177	389.623	389.116	392.226	392.249	387.601	385.493	388.709	386.963	385.791	380.438	369.746	376.035	372.426	368.857	369.352	373.913	355.353	352.243	298.337	289.899	280.982	283.115	283.883	283.757	274.389	281.402	278.174	281.27	284.04	284.692	282.788	280.874	275.932	275.248	273.985	271.724	265.81	267.139	266.501	245.564	249.705	248.79	213.733	208.8	210.197	202.212	202.883	202.226	193.733	175.161	114.692	116.274	85.6021	77.6411	45.3696	36.392	64.3383	212.932	209.269	212.039	241.907	244.697	281.526	277.206	294.535	296.145	312.884	331.705	336.328	335.501	351.179	371.96	373.709	376.348	380.381	383.504	381.564	383.542	388.252	401.96	401.136	398.957	403.107	399.108	403.976	408.075	393.5	423.213	432.787	432.853	473.548	464.907	472.877	477.16	479.138	483.536	1.042066
56100	-6014.3	-4561.316	-1452.984	0.0006655226	-0.005241557	0.07149369	0.003576155	15	629.7018	0.06625214	463.383	411.871	417.198	414.015	395.597	401.928	396.308	394.868	399.019	398.726	392.8	399.147	398.696	393.349	392.221	390.722	391.158	388.994	386.465	387.933	386.048	388.774	377.207	373.589	374.136	374.24	370.077	372.327	374.877	357.472	350.301	307.62	289.814	280.878	283.002	283.883	284.062	273.649	284.089	276.798	283.865	284.246	284.462	282.584	280.78	280.211	275.541	274.621	266.004	266.341	267.291	266.917	249.469	251.658	251.776	213.317	208.567	208.329	202.175	201.648	204.051	181.142	173.833	111.583	113.168	84.8892	78.0077	39.2012	36.2082	63.382	212.792	210.475	212.73	239.096	243.158	284.771	286.582	293.11	296.743	313.407	335.204	334.909	342.15	349.858	374.162	374.022	374.975	376.946	381.582	380.31	380.578	388.882	402.639	400.316	401.571	400.749	399.459	400.863	405.45	393.5	420.033	432.303	429.374	475.327	469.26	473.044	475.341	479.845	478.109	1.079115
56200	-6023.609	-4566.63	-1456.98	0.0007193817	0.001314335	0.07013851	0.002455539	12	624.9857	0.07145284	468.871	412.186	416.985	413.868	408.966	404.06	398.91	395.654	398.86	394.698	396.878	397.212	398.352	392.177	390.332	390.722	390.081	387.5	385.713	387.279	388.893	388.766	379.192	370.925	374.055	372.117	374.998	370.181	372.372	358.108	350.757	308.757	291.882	280.751	283.001	281.373	283.534	273.609	282.881	282.008	281.242	283.985	283.628	282.047	280.708	281.607	275.451	274.868	273.047	261.717	267.345	266.506	245.888	252.304	255.04	213.368	212.61	209.546	202.024	202.549	205.722	184.743	175.021	111.583	112.196	84.9505	75.3548	46.4303	35.3162	63.3923	208.563	212.622	208.494	241.49	239.222	283.795	284.756	293.694	291.377	316.195	331.171	331.363	342.102	349.803	373.959	372.125	374.837	378.976	381.704	383.848	379.781	386.252	402.541	400.489	398.906	403.452	399.339	400.281	401.388	393.5	420.979	431.259	433.12	473.193	469.108	472.758	476.546	479.488	477.315	0.9816056
